                  name                   |              domain              | count_number 
 Four Seasons                            | fs-restaurants.co.uk             |            3
 Thai Square                             | thaisq.com                       |            3
 Black Tap                               | blacktap.ch                      |            2
 Cartems Donuts                          | cartems.com                      |            2
 Bun House                               | bun.house                        |            2
 Red's True Barbecue                     | truebarbecue.com                 |            2
 Rudy's                                  | rudyspizza.co.uk                 |            2
 C London                                | crestaurant.co.uk                |            2
 Hopper & Bean                           | hopperandbean.com                |            2
 Revolución de Cuba                      | revoluciondecuba.com             |            2
 Browns                                  | browns-restaurants.co.uk         |            2
(383 rows)

